level0,level1,level2,level2,code,name,note,latitude,longitude
จ.เชียงราย,เวียงเชียงรุ้ง,องค์การบริหารส่วนตําบลทุ่งก่อ,ทุ่งก่อ,11202,รพ.เวียงเชียงรุ้ง,รพ.,19.984,100.049
จ.เชียงราย,แม่ฟ้าหลวง,องค์การบริหารส่วนตําบลแม่ฟ้าหลวง,แม่ฟ้าหลวง,6804,รพ.สต.บ้านสามัคคีใหม่,รพ.สต.,20.288,99.783
จ.เชียงราย,แม่ฟ้าหลวง,องค์การบริหารส่วนตําบลแม่ฟ้าหลวง,แม่ฟ้าหลวง,10482,รพ.สต.บ้านป่ายาง,รพ.สต.,20.288,99.783
จ.เชียงราย,แม่ฟ้าหลวง,องค์การบริหารส่วนตําบลแม่ฟ้าหลวง,แม่ฟ้าหลวง,15000,รพ.สต.บ้านห้วยน้ำขุ่น,รพ.สต.,20.288,99.783
จ.เชียงราย,เชียงของ,เทศบาลตำบลเวียงเชียงของ,เวียงเชียงของ,11454,รพ.สมเด็จพระยุพราชเชียงของ,รพ.,20.266,100.369
จ.เชียงราย,พญาเม็งราย,องค์การบริหารส่วนตําบลแม่เปา,แม่เปา,6781,รพ.สต.แม่เปา,รพ.สต.,19.902,100.118
จ.เชียงราย,พญาเม็งราย,องค์การบริหารส่วนตําบลแม่เปา,แม่เปา,14021,รพ.สต.บ้านขุนห้วยแม่เปา,รพ.สต.,19.902,100.118
จ.เชียงราย,พญาเม็งราย,องค์การบริหารส่วนตําบลแม่เปา,แม่เปา,11197,รพ.พญาเม็งราย,รพ.,19.902,100.118
จ.เชียงราย,เชียงแสน,องค์การบริหารส่วนตําบลแม่เงิน,แม่เงิน,6752,รพ.สต.แม่เงิน,รพ.สต.,20.298,100.262
จ.เชียงราย,เชียงแสน,องค์การบริหารส่วนตําบลแม่เงิน,แม่เงิน,6753,รพ.สต.บ้านไร่,รพ.สต.,20.298,100.262
จ.เชียงราย,เวียงชัย,องค์การบริหารส่วนตําบลผางาม,ผางาม,6670,รพ.สต.ผางาม,รพ.สต.,19.882,100.046
จ.เชียงราย,เวียงชัย,องค์การบริหารส่วนตําบลผางาม,ผางาม,6671,รพ.สต.บ้านดงมะตึ๋น,รพ.สต.,19.882,100.046
จ.เชียงราย,พญาเม็งราย,เทศบาลตำบลไม้ยา,ไม้ยา,6783,รพ.สต.ไม้ยา,รพ.สต.,19.769,100.107
จ.เชียงราย,พญาเม็งราย,เทศบาลตำบลไม้ยา,ไม้ยา,6784,รพ.สต.บ้านห้วยก้าง,รพ.สต.,19.769,100.107
จ.เชียงราย,เทิง,เทศบาลตำบลเวียง,เวียง,14019,รพ.สต.บ้านร่องแช่,รพ.สต.,19.692,100.213
